original_title,release_date
The Legend of Bagger Vance,11/2/00
Almost Famous,9/15/00
Garfield: A Tail of Two Kitties,6/15/06
xXx: State of the Union,4/27/05
Priest,5/5/11
Sinbad: Legend of the Seven Seas,7/2/03
Event Horizon,8/15/97
Dragonfly,2/22/02
The Black Dahlia,9/15/06
Flyboys,9/22/06
The Last Castle,10/19/01
Supernova,1/14/00
Winter's Tale,2/13/14
The Mortal Instruments: City of Bones,8/21/13
Meet Dave,7/8/08
Dark Water,6/27/05
Edtv,3/26/99
Inkheart,12/11/08
The Spirit,12/25/08
Mortdecai,1/21/15
In the Name of the King: A Dungeon Siege Tale,11/29/07
Beyond Borders,10/23/03
西游记之孙悟空三打白骨精,1/22/16
The Great Raid,8/12/05
Deadpool,2/9/16
Holy Man,10/8/98
American Sniper,12/11/14
Goosebumps,8/5/15
Just Like Heaven,9/16/05
The Flintstones in Viva Rock Vegas,4/28/00
Rambo III,5/24/88
Leatherheads,3/24/08
The Ridiculous 6,12/11/15
Did You Hear About the Morgans?,12/17/09
The Internship,6/7/13
Resident Evil: Afterlife,9/9/10
Red Tails,1/19/12
The Devil's Advocate,10/17/97
That's My Boy,6/14/12
DragonHeart,5/31/96
After the Sunset,11/12/04
Ghost Rider: Spirit of Vengeance,12/10/11
Captain Corelli's Mandolin,8/17/01
The Pacifier,3/4/05
Walking Tall,4/2/04
Forrest Gump,7/6/94
Alvin and the Chipmunks,12/13/07
Meet the Parents,10/6/00
Pocahontas,6/14/95
Superman,12/13/78
The Nutty Professor,6/26/96
Hitch,2/10/05
George of the Jungle,7/15/97
American Wedding,8/1/03
Captain Phillips,10/10/13
Date Night,4/8/10
Casper,5/26/95
The Equalizer,9/24/14
Maid in Manhattan,12/13/02
Crimson Tide,5/12/95
The Pursuit of Happyness,12/14/06
Flightplan,9/22/05
Disclosure,12/9/94
City of Angels,4/10/98
Kill Bill: Vol. 1,10/10/03
Bowfinger,8/12/99
Kill Bill: Vol. 2,4/16/04
Tango & Cash,12/22/89
Death Becomes Her,7/30/92
Shanghai Noon,5/26/00
Executive Decision,3/15/96
Mr. Popper's Penguins,6/17/11
The Forbidden Kingdom,4/18/08
Free Birds,10/30/13
Alien³,5/22/92
Evita,12/14/96
Ronin,9/25/98
The Ghost and the Darkness,10/11/96
Paddington,11/27/14
The Watch,7/26/12
The Hunted,3/11/03
Instinct,6/4/99
Stuck on You,12/10/03
Semi-Pro,2/28/08
The Pirates! In an Adventure with Scientists!,3/12/12
Changeling,1/30/08
Chain Reaction,8/2/96
The Fan,8/15/96
The Phantom of the Opera,12/8/04
Elizabeth: The Golden Age,9/9/07
Gods and Generals,2/21/03
Turbulence,1/9/97
Imagine That,6/19/09
Muppets Most Wanted,3/20/14
Thunderbirds,7/23/04
Burlesque,11/23/10
Un long dimanche de fiançailles,10/26/04
Lolita,6/13/62
D-Tox,1/4/02
Blade II,3/22/02
Seven Pounds,12/18/08
Bullet to the Head,1/31/13
The Godfather: Part III,12/24/90
Elizabethtown,10/6/05
"You, Me and Dupree",7/14/06
Superman II,12/4/80
Gigli,8/1/03
All the King's Men,9/10/06
Shaft,6/15/00
Anastasia,11/20/97
Moulin Rouge!,3/9/01
Domestic Disturbance,10/30/01
Black Mass,9/4/15
Flags of Our Fathers,10/18/06
